district_norm,district_raw,state_raw,latitude,longitude,geocoded_name,geocoded_admin1,geocoded_admin2,resolved
kolar,Kolar,Karnataka,13.13768,78.12999,Kolār,Karnataka,Kolar district,True
samba,Samba,Jammu and Kashmir,32.56245,75.11993,Sāmba,Jammu and Kashmir,Samba District,True
jammu,Jammu,Jammu and Kashmir,32.73528,74.86167,Jammu,Jammu and Kashmir,Jammu district,True
kathua,Kathua,Jammu and Kashmir,32.36941,75.52539,Kathua,Jammu and Kashmir,Kathua District,True
udhampur,Udhampur,Jammu and Kashmir,32.92431,75.13573,Udhampur,Jammu and Kashmir,Udhampur district,True
east,East,Jammu and Kashmir,23.20083,93.08517,East Lungdar,Mizoram,Serchhip district,True
mirpur,Mirpur,Jammu and Kashmir,32.37561,75.44007,Mīrpur Jaggu,Jammu and Kashmir,Kathua District,True
north,North,Jammu and Kashmir,22.76602,88.36336,Bārākpur,West Bengal,North 24 Parganas,True
north east,North East,Jammu and Kashmir,,,,,,False
west,West,Jammu and Kashmir,16.71311,81.10437,Eluru,Andhra Pradesh,Eluru,True
doda,Doda,Jammu and Kashmir,33.14916,75.54746,Doda,Jammu and Kashmir,Doda District,True
muzaffarabad,Muzaffarabad,Jammu and Kashmir,30.12125,77.71395,Muzaffarābād,Uttar Pradesh,Sahāranpur District,True
reasi,Reasi,Jammu and Kashmir,33.08115,74.83242,Reasi,Jammu and Kashmir,Reasi,True
budgam,Budgam,Jammu and Kashmir,,,,,,False
rajouri,Rajouri,Jammu and Kashmir,33.3779,74.3152,Rajouri Airport,Jammu and Kashmir,Rajauri,True
kulgam,Kulgam,Jammu and Kashmir,33.64456,75.01923,Kulgam,Jammu and Kashmir,Kulgam,True
shopian,Shopian,Jammu and Kashmir,33.71723,74.83413,Shopian,Jammu and Kashmir,Shopian,True
poonch,Poonch,Jammu and Kashmir,33.77033,74.09254,Pūnch,Jammu and Kashmir,Poonch District,True
pulwama,Pulwama,Jammu and Kashmir,33.87405,74.89955,Pulwama,Jammu and Kashmir,Pulwama,True
srinagar,Srinagar,Jammu and Kashmir,34.08565,74.80555,Srinagar,Jammu and Kashmir,Srīnagar District,True
kishtwar,Kishtwar,Jammu and Kashmir,33.31346,75.76726,Kishtwār,Jammu and Kashmir,Kishtwar,True
anantnag,Anantnag,Jammu and Kashmir,33.73068,75.15418,Anantnag,Jammu and Kashmir,Anantnag,True
ganderbal,Ganderbal,Jammu and Kashmir,34.22619,74.77478,Ganderbal,Jammu and Kashmir,Ganderbal District,True
baramulla,Baramulla,Jammu and Kashmir,,,,,,False
bandipora,Bandipora,Jammu and Kashmir,,,,,,False
kupwara,Kupwara,Jammu and Kashmir,34.52856,74.26396,Kopawor,Jammu and Kashmir,Kupwara District,True
south west,South West,Jammu and Kashmir,,,,,,False
ramban,Ramban,Jammu and Kashmir,33.24278,75.23513,Rāmban,Jammu and Kashmir,Ramban District,True
central,Central,Jammu and Kashmir,12.91552,77.65248,Central Government Quarters,Tamil Nadu,,True
amritsar,Amritsar,Jammu and Kashmir,31.62234,74.87534,Amritsar,Punjab,Amritsar,True
south,South,Jammu and Kashmir,18.80188,75.36371,Southada,Maharashtra,Beed District,True
kapurthala,Kapurthala,Jammu and Kashmir,31.38011,75.38105,Kapurthala Town,Punjab,Kapurthala district,True
pathankot,Pathankot,Jammu and Kashmir,32.27484,75.65287,Pathankot,Punjab,Pathankot,True
ferozepur,Ferozepur,Jammu and Kashmir,30.92574,74.61311,Firozpur,Punjab,Firozpur,True
mansa,Mansa,Jammu and Kashmir,32.70207,75.1471,Mānsar,Jammu and Kashmir,Udhampur district,True
patiala,Patiala,Jammu and Kashmir,30.33625,76.3922,Patiāla,Punjab,Patiala district,True
new new delhi,New New Delhi,Jammu and Kashmir,,,,,,False
barnala,Barnala,Jammu and Kashmir,30.37451,75.5487,Barnāla,Punjab,Barnala,True
sangrur,Sangrur,Jammu and Kashmir,30.24506,75.84488,Sangrur,Punjab,Sangrur District,True
sri sri muktsar sahib sahib,Sri Sri Muktsar Sahib Sahib,Jammu and Kashmir,,,,,,False
fatehgarh sahib,Fatehgarh Sahib,Jammu and Kashmir,,,,,,False
faridkot,Faridkot,Jammu and Kashmir,30.67399,74.75579,Farīdkot,Punjab,Faridkot,True
s a s nagar,S.A.S Nagar,Jammu and Kashmir,,,,,,False
bathinda,Bathinda,Jammu and Kashmir,30.20747,74.93893,Bathinda,Punjab,Bathinda,True
moga,Moga,Jammu and Kashmir,33.27981,75.23975,Moga,Jammu and Kashmir,Ramban District,True
ludhiana,Ludhiana,Jammu and Kashmir,30.91204,75.85379,Ludhiana,Punjab,Ludhiana district,True
shahdara,Shahdara,Jammu and Kashmir,34.11283,73.96285,Shāhdara,Jammu and Kashmir,Bāramūla District,True
north west,North West,Jammu and Kashmir,,,,,,False
gurdaspur,Gurdaspur,Jammu and Kashmir,32.03933,75.40318,Gurdaspur,Punjab,Gurdaspur district,True
south east,South East,Jammu and Kashmir,,,,,,False
jalandhar,Jalandhar,Jammu and Kashmir,31.32556,75.57917,Jalandhar,Punjab,Jalandhar district,True
tarn taran,Tarn Taran,Jammu and Kashmir,31.45191,74.92777,Tarn Taran,Punjab,Tarn Taran,True
rupnagar,Rupnagar,Jammu and Kashmir,30.21013,73.99427,Rūpnagar,Punjab,Fazilka,True
shahid bhagat singh nagar,Shahid Bhagat Singh Nagar,Jammu and Kashmir,,,,,,False
fazilka,Fazilka,Jammu and Kashmir,30.40207,74.02836,Fazilka,Punjab,Fazilka,True
hoshiarpur,Hoshiarpur,Jammu and Kashmir,31.53723,75.91269,Hoshiārpur,Punjab,Hoshiarpur district,True
lahul and spiti,Lahul And Spiti,Himachal Pradesh,,,,,,False
chamba,Chamba,Himachal Pradesh,32.55531,76.12647,Chamba,Himachal Pradesh,Chamba,True
kangra,Kangra,Himachal Pradesh,32.09135,76.26267,Kangra,Himachal Pradesh,Kāngra District,True
kullu,Kullu,Himachal Pradesh,31.95835,77.10823,Kullu,Himachal Pradesh,Kullu,True
mandi,Mandi,Himachal Pradesh,31.71194,76.93273,Mandi,Himachal Pradesh,Mandi,True
kinnaur,Kinnaur,Himachal Pradesh,31.52105,78.3628,Kailāsh,Himachal Pradesh,Kinnaur district,True
shimla,Shimla,Himachal Pradesh,31.10442,77.16662,Shimla,Himachal Pradesh,Shimla district,True
solan,Solan,Himachal Pradesh,30.90908,77.10869,Solan,Himachal Pradesh,Solan,True
sirmaur,Sirmaur,Himachal Pradesh,24.83648,81.36448,Sirmaur,Madhya Pradesh,Rewa,True
bilaspur,Bilaspur,Himachal Pradesh,31.33027,76.75663,Bilaspur,Himachal Pradesh,Bilaspur District,True
una,Una,Himachal Pradesh,31.46493,76.26914,Una,Himachal Pradesh,Una,True
nalgonda,Nalgonda,Maharashtra,17.05439,79.26707,Nalgonda,Telangana,Nalgonda District,True
nagarkurnool,Nagarkurnool,Maharashtra,,,,,,False
mulugu,Mulugu,Maharashtra,18.191,79.943,Mulugu,Telangana,Mulugu,True
medchal malkajgiri,Medchal Malkajgiri,Maharashtra,,,,,,False
nizamabad,Nizamabad,Maharashtra,18.67154,78.0988,Nizāmābād,Telangana,Nizamabad District,True
nirmal,Nirmal,Maharashtra,19.40043,72.76511,Nirmal,Maharashtra,Palghar,True
medak,Medak,Maharashtra,18.04531,78.26078,Medak,Telangana,Medak District,True
jogulamba gadwal,Jogulamba Gadwal,Maharashtra,,,,,,False
mahabubnagar,Mahabubnagar,Maharashtra,,,,,,False
mahabubabad,Mahabubabad,Maharashtra,,,,,,False
kumuram bheem asifabad,Kumuram Bheem Asifabad,Maharashtra,,,,,,False
khammam,Khammam,Maharashtra,17.24767,80.14368,Khammam,Telangana,Khammam district,True
karimnagar,Karimnagar,Maharashtra,18.43915,79.12856,Karīmnagar,Telangana,Karīmngar District,True
kamareddy,Kamareddy,Maharashtra,,,,,,False
peddapalli,Peddapalli,Maharashtra,18.61357,79.37442,Peddapalli,Telangana,Peddapalli,True
mancherial,Mancherial,Maharashtra,18.87074,79.42863,Mancherial,Telangana,Mancherial,True
rajanna sircilla,Rajanna Sircilla,Maharashtra,,,,,,False
jayashankar bhupalapally,Jayashankar Bhupalapally,Maharashtra,,,,,,False
sangareddy,Sangareddy,Maharashtra,,,,,,False
jangoan,Jangoan,Maharashtra,,,,,,False
narayanpet,Narayanpet,Maharashtra,16.74799,77.4954,Nārāyanpet,Telangana,Narayanpet,True
bhadradri bhadradri kothagudem bhadradri kothagudem,Bhadradri Bhadradri Kothagudem Bhadradri Kothagudem,Maharashtra,,,,,,False
yadadri yadadri bhuvanagiri yadadri bhuvanagiri,Yadadri Yadadri Bhuvanagiri Yadadri Bhuvanagiri,Maharashtra,,,,,,False
warangal,Warangal,Maharashtra,18.0,79.58333,Warangal,Telangana,Hanamkonda,True
ranga reddy,Ranga Reddy,Maharashtra,,,,,,False
wanaparthy,Wanaparthy,Maharashtra,16.36738,78.06889,Wanparti,Telangana,Wanaparthy,True
vikarabad,Vikarabad,Maharashtra,17.3381,77.90441,Vikārābād,Telangana,Vikarabad,True
suryapet,Suryapet,Maharashtra,17.14054,79.62045,Suriāpet,Telangana,Suryapet,True
siddipet,Siddipet,Maharashtra,18.10483,78.84858,Siddipet,Telangana,Siddipet,True
jagitial,Jagitial,Maharashtra,18.79972,78.92829,Jagitial,Telangana,Jagitial,True
solapur,Solapur,Maharashtra,17.67152,75.91044,Solapur,Maharashtra,Sholāpur District,True
adilabad,Adilabad,Maharashtra,19.67203,78.5359,Adilabad,Telangana,Adilabad District,True
nanded,Nanded,Maharashtra,19.16023,77.31497,Nanded,Maharashtra,Nanded District,True
hingoli,Hingoli,Maharashtra,19.71464,77.14238,Hingoli,Maharashtra,Hingoli District,True
ahmednagar,Ahmednagar,Maharashtra,23.59893,72.96602,Himatnagar,Gujarat,Sabar Kantha,True
jalna,Jalna,Maharashtra,19.84102,75.88636,Jālna,Maharashtra,Jalna District,True
yavatmal,Yavatmal,Maharashtra,20.39324,78.13201,Yavatmal,Maharashtra,Yavatmal District,True
chandrapur,Chandrapur,Maharashtra,19.95076,79.29523,Chandrapur,Maharashtra,Chandrapur,True
washim,Washim,Maharashtra,20.11128,77.133,Wāshīm,Maharashtra,Washim,True
gadchiroli,Gadchiroli,Maharashtra,20.18061,80.00522,Garhchiroli,Maharashtra,Gadchiroli,True
nashik,Nashik,Maharashtra,19.99727,73.79096,Nashik,Maharashtra,Nashik,True
akola,Akola,Maharashtra,20.70957,76.9981,Akola,Maharashtra,Akola district,True
buldhana,Buldhana,Maharashtra,,,,,,False
wardha,Wardha,Maharashtra,20.73933,78.59784,Wardha,Maharashtra,Wardha district,True
jalgaon,Jalgaon,Maharashtra,21.00292,75.56602,Jalgaon,Maharashtra,Jalgaon,True
bhandara,Bhandara,Maharashtra,21.16817,79.64885,Bhandāra,Maharashtra,Bhandara district,True
gondia,Gondia,Maharashtra,21.46026,80.19205,Gondiā,Maharashtra,Gondia,True
parbhani,Parbhani,Maharashtra,19.26855,76.77081,Parbhani,Maharashtra,Parbhani District,True
pune,Pune,Maharashtra,18.51957,73.85535,Pune,Maharashtra,Pune,True
beed,Beed,Maharashtra,18.98921,75.75634,Beed,Maharashtra,Beed District,True
mumbai,Mumbai,Maharashtra,19.07283,72.88261,Mumbai,Maharashtra,,True
mumbai suburban,Mumbai Suburban,Maharashtra,,,,,,False
raigarh,Raigarh,Maharashtra,21.89764,83.3966,Raigarh,Chhattisgarh,Raigarh district,True
dhule,Dhule,Maharashtra,20.9013,74.77737,Dhule,Maharashtra,Dhule district,True
amravati,Amravati,Maharashtra,20.93333,77.75,Amravati,Maharashtra,Amravati,True
nandurbar,Nandurbar,Maharashtra,21.36671,74.24051,Nandurbar,Maharashtra,Nandurbar,True
palghar,Palghar,Maharashtra,19.69693,72.76543,Pālghar,Maharashtra,Palghar,True
sindhudurg,Sindhudurg,Maharashtra,15.99894,73.5347,Sindhudurg Airport,Maharashtra,Sindhudurg District,True
kolhapur,Kolhapur,Maharashtra,16.69563,74.23167,Kolhāpur,Maharashtra,Kolhapur,True
sangli,Sangli,Maharashtra,16.85438,74.56417,Sangli,Maharashtra,Sangli,True
ratnagiri,Ratnagiri,Maharashtra,16.99154,73.31022,Ratnagiri,Maharashtra,Ratnagiri District,True
satara,Satara,Maharashtra,17.68589,73.99333,Satara,Maharashtra,Satara,True
dharashiv,Dharashiv,Maharashtra,18.18158,76.03889,Dharashiv,Maharashtra,Osmanabad District,True
latur,Latur,Maharashtra,18.39721,76.56784,Latur,Maharashtra,Latur District,True
thane,Thane,Maharashtra,19.19704,72.96355,Thane,Maharashtra,Thane District,True
hyderabad,Hyderabad,Maharashtra,17.38405,78.45636,Hyderabad,Telangana,Hyderabad District,True
chennai,Chennai,Tamil Nadu,13.08784,80.27847,Chennai,Tamil Nadu,Chennai district,True
suburbans,Suburbans,Madras,,,,,,False
udalguri,Udalguri,Assam,26.75367,92.10215,Udalguri,Assam,Udalguri,True
darrang,Darrang,Assam,26.63333,92.8,Tezpur,Assam,Sonitpur,True
sonitpur,Sonitpur,Assam,26.78196,92.44907,Sonitpur,Assam,Sonitpur,True
biswanath,Biswanath,Assam,26.72577,93.14659,Biswanath Chariali,Assam,Biswanath,True
entire village,Entire village,Uttarakhand,,,,,,False
chittoor,Chittoor,Andhra Pradesh,13.21055,79.0956,Chittoor,Andhra Pradesh,Chittoor,True
y s r,Y.S.R.,Andhra Pradesh,,,,,,False
west godavari,West Godavari,Andhra Pradesh,16.71311,81.10437,Eluru,Andhra Pradesh,Eluru,True
sri potti sriramulu nellore,Sri Potti Sriramulu Nellore,Andhra Pradesh,,,,,,False
ananthapuramuamu,Ananthapuramuamu,Andhra Pradesh,,,,,,False
kurnool,Kurnool,Andhra Pradesh,15.82887,78.03602,Kurnool,Andhra Pradesh,Kurnool district,True
east godavari,East Godavari,Andhra Pradesh,,,,,,False
guntur,Guntur,Andhra Pradesh,16.29974,80.45729,Guntur,Andhra Pradesh,Guntūr District,True
krishna,Krishna,Andhra Pradesh,17.60293,82.4215,Krishnaram,Andhra Pradesh,Alluri Sitharama Raju,True
visakhapatnam,Visakhapatnam,Andhra Pradesh,17.68009,83.20161,Visakhapatnam,Andhra Pradesh,Visakhapatanam,True
vizianagaram,Vizianagaram,Andhra Pradesh,18.11692,83.41148,Vizianagaram,Andhra Pradesh,Vizianagaram District,True
srikakulam,Srikakulam,Andhra Pradesh,18.2989,83.89751,Srikakulam,Andhra Pradesh,Srikakulam district,True
prakasam,Prakasam,Andhra Pradesh,,,,,,False
dakshin dinajpur,Dakshin Dinajpur,West Bengal,,,,,,False
kalimpong,Kalimpong,West Bengal,27.03461,88.63084,Kalimpong,West Bengal,Kalimpong,True
uttar kashi dinajpur,Uttar Kashi Dinajpur,West Bengal,,,,,,False
north westduar,North westduar,West Bengal,,,,,,False
malda,Malda,West Bengal,25.00447,88.14573,Malda,West Bengal,Malda,True
south 24 parganas,South 24 Parganas,Uttar Pradesh,,,,,,False
maldah,Maldah,Uttar Pradesh,27.45907,82.68457,Maldāh,Uttar Pradesh,Balrampur,True
murshidabad,Murshidabad,Uttar Pradesh,26.07467,81.06312,Murshidābād,Uttar Pradesh,Rae Bareli,True
birbhum,Birbhum,Uttar Pradesh,,,,,,False
nadia,Nadia,Uttar Pradesh,26.96423,78.74494,Nādia,Uttar Pradesh,Firozabad,True
purba purba bardhaman,Purba Purba Bardhaman,Uttar Pradesh,,,,,,False
purulia,Purulia,Uttar Pradesh,23.33062,86.36303,Puruliya,West Bengal,Purulia,True
bankura,Bankura,Uttar Pradesh,23.23241,87.0716,Bānkura,West Bengal,Bānkura District,True
north 24 parganas,North 24 Parganas,Uttar Pradesh,,,,,,False
tinsukia,Tinsukia,Uttar Pradesh,27.48905,95.35992,Tinsukia,Assam,Tinsukia,True
dhemaji,Dhemaji,Uttar Pradesh,27.48333,94.58333,Dhemāji,Assam,Dhemaji,True
dibrugarh,Dibrugarh,Uttar Pradesh,27.47989,94.90837,Dibrugarh,Assam,Dibrugarh district,True
sivasagar,Sivasagar,Uttar Pradesh,,,,,,False
jorhat,Jorhat,Uttar Pradesh,26.75751,94.20306,Jorhat,Assam,Jorhat district,True
golaghat,Golaghat,Uttar Pradesh,26.51167,93.95951,Golāghāt,Assam,Golaghat,True
chirang,Chirang,Uttar Pradesh,29.87368,79.81931,Chirang,Uttarakhand,Bageshwar,True
baksa,Baksa,Uttar Pradesh,28.7643,78.00321,Baksar,Uttar Pradesh,Hapur,True
nagaon,Nagaon,Uttar Pradesh,24.7321,83.2288,Nāgaon,Uttar Pradesh,Sonbhadra,True
kokrajhar,Kokrajhar,Uttar Pradesh,26.40107,90.27286,Kokrajhar,Assam,Kokrajhar,True
barpeta,Barpeta,Uttar Pradesh,26.32293,91.00632,Barpeta,Assam,Barpeta,True
nalbari,Nalbari,Uttar Pradesh,26.43937,91.44041,Nalbāri,Assam,Nalbari,True
lakhimpur,Lakhimpur,Uttar Pradesh,27.94822,80.77935,Lakhīmpur,Uttar Pradesh,Kheri,True
marigaon,Marigaon,Uttar Pradesh,21.63523,85.57643,Mārigāon,Odisha,Kendujhar,True
kamrup,Kamrup,Uttar Pradesh,,,,,,False
bongaigaon,Bongaigaon,Uttar Pradesh,26.47703,90.55815,Bongaigaon,Assam,Bongaigaon,True
dhubri,Dhubri,Uttar Pradesh,26.01856,89.98564,Dhubri,Assam,Dhubri,True
kamrup metro,Kamrup Metro,Uttar Pradesh,,,,,,False
goalpara,Goalpara,Uttar Pradesh,26.17668,90.62634,Goālpāra,Assam,Goālpāra District,True
dima hasao,Dima Hasao,Uttar Pradesh,,,,,,False
cachar,Cachar,Uttar Pradesh,,,,,,False
karimganj,Karimganj,Uttar Pradesh,27.31018,79.03611,Karīmganj,Uttar Pradesh,Mainpuri district,True
hailakandi,Hailakandi,Uttar Pradesh,24.68394,92.56097,Hailākāndi,Assam,Hailakandi,True
charaideo,Charaideo,Uttar Pradesh,,,,,,False
majuli,Majuli,Uttar Pradesh,26.95,94.16667,Mājuli,Assam,Majuli,True
hojai,Hojai,Uttar Pradesh,26.00281,92.85605,Hojāi,Assam,Hojai,True
south salmara mancachar,South Salmara Mancachar,Uttar Pradesh,,,,,,False
karbi anglong,Karbi Anglong,Uttar Pradesh,,,,,,False
west karbi anglong,West Karbi Anglong,Uttar Pradesh,,,,,,False
kashmir valley,Kashmir valley,Jammu and Kashmir,,,,,,False
few districts,Few districts,Maharashtra,,,,,,False
chota udaipur,Chota Udaipur,Rajasthan,22.30401,74.0158,Chhota Udepur,Gujarat,Chhotaudepur,True
narmada,Narmada,Rajasthan,22.74747,77.72736,Narmadapuram,Madhya Pradesh,Hoshangābād District,True
tapi,Tapi,Rajasthan,23.83685,85.49454,Taping,Jharkhand,Ramgarh District,True
arvalli,Arvalli,Rajasthan,,,,,,False
botad,Botad,Rajasthan,22.16917,71.66671,Botad,Gujarat,Botad,True
mahisagar,Mahisagar,Rajasthan,,,,,,False
gir somnath,Gir Somnath,Rajasthan,,,,,,False
sabar kantha,Sabar Kantha,Rajasthan,,,,,,False
kachchh,Kachchh,Rajasthan,26.05654,76.61051,Kāchchhra,Rajasthan,Sawai Madhopur,True
surendranagar,Surendranagar,Rajasthan,22.72706,71.64856,Surendranagar,Gujarat,Surendranagar,True
rajkot,Rajkot,Rajasthan,25.73681,75.58779,Rajkot,Rajasthan,Tonk,True
kheda,Kheda,Rajasthan,26.06365,74.27955,Khedarla,Rajasthan,Ajmer district,True
anand,Anand,Rajasthan,24.44813,76.35522,Ānanda,Rajasthan,Jhalawar,True
bhavnagar,Bhavnagar,Rajasthan,21.76287,72.15331,Bhavnagar,Gujarat,Bhavnagar,True
jamnagar,Jamnagar,Rajasthan,22.47292,70.06673,Jamnagar,Gujarat,Jamnagar,True
devbhumi dwarka dwarka,Devbhumi Dwarka Dwarka,Rajasthan,,,,,,False
morbi,Morbi,Rajasthan,32.33604,76.06014,Morbi,Himachal Pradesh,Chamba,True
navsari,Navsari,Rajasthan,20.94237,72.92467,Navsari,Gujarat,Navsari,True
junagadh,Junagadh,Rajasthan,21.51966,70.45981,Jūnāgadh,Gujarat,Jūnāgadh District,True
porbandar,Porbandar,Rajasthan,21.64219,69.60929,Porbandar,Gujarat,Porbandar,True
bharuch,Bharuch,Rajasthan,21.69482,72.9805,Bharūch,Gujarat,Bharūch District,True
banas kantha,Banas Kantha,Rajasthan,,,,,,False
dahod,Dahod,Rajasthan,23.03621,77.48981,Dāhod,Madhya Pradesh,Raisen,True
vadodara,Vadodara,Rajasthan,22.29941,73.20812,Vadodara,Gujarat,Vadodara,True
valsad,Valsad,Rajasthan,20.61013,72.93428,Valsād,Gujarat,Bulsar District,True
amreli,Amreli,Rajasthan,21.59983,71.21169,Amreli,Gujarat,Amreli district,True
dangs,Dangs,Rajasthan,26.31191,84.60651,Dangsi,Bihar,Gopalganj,True
patan,Patan,Rajasthan,24.54205,76.17242,Jhālrapātan,Rajasthan,Jhalawar,True
mahesana,Mahesana,Rajasthan,23.59864,72.38472,Mahesāna,Gujarat,Mehsāna District,True
gandhinagar,Gandhinagar,Rajasthan,29.2282,74.58248,Gāndhīnagar,Rajasthan,Hanumangarh,True
ahmedabad,Ahmedabad,Rajasthan,23.02579,72.58727,Ahmedabad,Gujarat,Ahmadābād District,True
panch mahals,Panch Mahals,Rajasthan,,,,,,False
kra daadi,Kra Daadi,Jammu and Kashmir,,,,,,False
kurung kumey,Kurung Kumey,Jammu and Kashmir,,,,,,False
lower lower subansiri,Lower Lower Subansiri,Jammu and Kashmir,,,,,,False
east kameng,East Kameng,Jammu and Kashmir,,,,,,False
west kameng,West Kameng,Jammu and Kashmir,,,,,,False
namsai,Namsai,Jammu and Kashmir,27.66904,95.86395,Namsai,,Namsai,True
longding,Longding,Jammu and Kashmir,26.88412,95.31946,Longding,,Longding,True
upper siang,Upper Siang,Jammu and Kashmir,,,,,,False
lower siang,Lower Siang,Jammu and Kashmir,,,,,,False
dibang valley,Dibang Valley,Jammu and Kashmir,,,,,,False
lower dibang valley,Lower Dibang Valley,Jammu and Kashmir,,,,,,False
siang,Siang,Jammu and Kashmir,22.59347,83.05274,Siang,Chhattisgarh,Korba,True
shi yomi,Shi Yomi,Jammu and Kashmir,28.52999,94.37322,Shi Yomi,,Shi Yomi,True
pakke kessang,Pakke Kessang,Jammu and Kashmir,,,,,,False
west siang,West Siang,Jammu and Kashmir,,,,,,False
leparada,Leparada,Jammu and Kashmir,,,,,,False
kamle,Kamle,Jammu and Kashmir,23.54962,84.73859,Kamle,Jharkhand,Lohardaga,True
lohit,Lohit,Jammu and Kashmir,17.83722,79.65628,Lohita,Telangana,Warangal Rural,True
east siang,East Siang,Jammu and Kashmir,,,,,,False
papum pare,Papum Pare,Jammu and Kashmir,,,,,,False
upper lower subansiri,Upper Lower Subansiri,Jammu and Kashmir,,,,,,False
anjaw,Anjaw,Jammu and Kashmir,,,,,,False
changlang,Changlang,Jammu and Kashmir,27.13177,95.73486,Changlang,,Changlang,True
tawang,Tawang,Jammu and Kashmir,27.57417,91.795,Tawang Town,,Tawang,True
tirap,Tirap,Jammu and Kashmir,27.16414,95.78127,Tirāp,,Changlang,True
ghazipur,Ghazipur,Uttar Pradesh,25.58333,83.58526,Ghazīpur,Uttar Pradesh,Ghazipur,True
mumbai colaba,Mumbai (Colaba),Maharashtra,,,,,,False
north bengal,North Bengal,West Bengal,,,,,,False
bijapur,Bijapur,Karnataka,16.82442,75.71537,Bijapur,Karnataka,Bijāpur District,True
silchar,Silchar,Assam,24.82733,92.79787,Silchar,Assam,Cachar,True
ramgarh,Ramgarh,Rajasthan,28.17096,74.97973,Rāmgarh,Rajasthan,Sikar,True
ghat area,Ghat area,Maharashtra,,,,,,False
kolkata,Kolkata,West Bengal,22.56263,88.36304,Kolkata,West Bengal,Kolkata,True
purba purba medinipur,Purba Purba Medinipur,West Bengal,,,,,,False
khurja,Khurja,Uttar Pradesh,28.25382,77.85535,Khurja,Uttar Pradesh,Bulandshahr district,True
paschim purba medinipur,Paschim Purba Medinipur,West Bengal,,,,,,False
paschim purba bardhaman,Paschim Purba Bardhaman,West Bengal,,,,,,False
thanjavur,Thanjavur,Tamil Nadu,10.78523,79.13909,Thanjavur,Tamil Nadu,Thanjavur,True
chengalpattu,Chengalpattu,Tamil Nadu,12.69184,79.97661,Chengalpattu,Tamil Nadu,Chengalpattu district,True
north tripura,North Tripura,Assam,,,,,,False
bhadradri bhadradri kothagudem kothagudem,Bhadradri Bhadradri Kothagudem kothagudem,Telangana,,,,,,False
dadra and nagar haveli,Dadra And Nagar Haveli,Dadra and Nagar Haveli,32.4983,74.68715,Dadra and Nagar Haveli,Jammu and Kashmir,Jammu district,True
south gujarat,South Gujarat,Maharashtra,,,,,,False
jhelum,Jhelum,Jammu and Kashmir,,,,,,False
purba bardhaman,Purba bardhaman,West Bengal,,,,,,False
hooghly,Hooghly,West Bengal,22.90877,88.39674,Hugli,West Bengal,Hooghly,True
the nilgiris,The Nilgiris,Tamil Nadu,,,,,,False
coimbatore,Coimbatore,Tamil Nadu,11.00555,76.96612,Coimbatore,Tamil Nadu,Coimbatore district,True
almora,Almora,Uttar Pradesh,29.59713,79.65911,Almora,Uttarakhand,Almora district,True
ramagiri,Ramagiri,Maharashtra,19.08683,84.29084,Rāmagiri,Odisha,Gajapati,True
mangalore,Mangalore,Karnataka,12.84654,74.84056,Mangalore Tota,Karnataka,Dakshina Kannada District,True
mudigere,Mudigere,Karnataka,13.59503,77.45105,Mudigere,Karnataka,Chikballapur,True
raipur,Raipur,Madhya Pradesh,24.57354,81.4411,Raipur,Madhya Pradesh,Rewa,True
tripura,Tripura,Tripura,13.08879,75.56248,Tripura,Karnataka,Chikkamagaluru,True
tehri garhwal,Tehri Garhwal,Uttar Pradesh,,,,,,False
uttar kashi kashi,Uttar Kashi Kashi,Uttar Pradesh,,,,,,False
garhwal,Garhwal,Uttar Pradesh,29.62663,78.32098,Garhwāla,Uttar Pradesh,Bijnor district,True
chumanung,Chumanung,Jammu and Kashmir,,,,,,False
dehradun,Dehradun,Uttar Pradesh,30.32443,78.03392,Dehradun,Uttarakhand,Dehradun,True
greater kolkata area,Greater Kolkata area,West Bengal,,,,,,False
salem,Salem,Tamil Nadu,11.65376,78.15538,Salem,Tamil Nadu,Salem district,True
erode,Erode,Tamil Nadu,11.3428,77.72741,Erode,Tamil Nadu,Erode,True
ramanathapuram,Ramanathapuram,Tamil Nadu,9.37158,78.83077,Ramanathapuram,Tamil Nadu,Ramanathapuram,True
chamoli,Chamoli,Uttarakhand,30.40271,79.33303,Chamoli,Uttarakhand,Chamoli district,True
hilly areas,Hilly areas,Jammu and Kashmir,,,,,,False
siliguri,Siliguri,West Bengal,26.71004,88.42851,Siliguri,West Bengal,Darjeeling,True
howrah,Howrah,Uttar Pradesh,22.57688,88.31857,Howrah,West Bengal,Howrah,True
rugi,Rugi,Karnataka,16.95456,76.02676,Rūgi,Karnataka,Bijāpur District,True
tirunelveli,Tirunelveli,Tamil Nadu,8.72742,77.6838,Tirunelveli,Tamil Nadu,Tirunelveli,True
cuddalore,Cuddalore,Tamil Nadu,11.75617,79.76693,Cuddalore,Tamil Nadu,Cuddalore,True
tiruchirappalli,Tiruchirappalli,Tamil Nadu,10.8155,78.69651,Tiruchirappalli,Tamil Nadu,Trichinopoly District,True
madurai,Madurai,Tamil Nadu,9.919,78.11953,Madurai,Tamil Nadu,Madurai,True
pudukkottai,Pudukkottai,Tamil Nadu,10.38128,78.82141,Pudukkottai,Tamil Nadu,Pudukkottai,True
south goa,South Goa,Goa,,,,,,False
north goa,North Goa,Goa,,,,,,False
chandigarh,Chandigarh,Chandigarh,30.73629,76.7884,Chandigarh,Chandigarh,Chandigarh District,True
